dgp,dgp_label,variant,equation,term,term_label,stage,recovery_rate,n_reps,true_coef,mean_coef,std_coef,coef_bias,coef_rmse
dgp7,NL + severe NL conf.,sr_pds_cf,d,"('cubic', 0, 1)",x0^2*x1,pre_lasso,1.0,100,2.0,,,,
dgp7,NL + severe NL conf.,sr_pds_cf,d,"('cubic', 0, 1)",x0^2*x1,post_lasso,1.0,100,2.0,,,,
dgp7,NL + severe NL conf.,sr_pds_cf,d,"('int', 3, 4)",x3*x4,pre_lasso,1.0,100,3.0,,,,
dgp7,NL + severe NL conf.,sr_pds_cf,d,"('int', 3, 4)",x3*x4,post_lasso,1.0,100,3.0,,,,
dgp8,Weak NL conf. (dummies),sr_pds,y,"('cubic', 0, 1)",x0^2*x1,pre_lasso,0.892,500,5.0,,,,
dgp8,Weak NL conf. (dummies),sr_pds,y,"('cubic', 0, 1)",x0^2*x1,post_lasso,0.892,500,5.0,4.988822455734055,0.17937897241527295,-0.011177544265945194,0.17972688513568694
dgp8,Weak NL conf. (dummies),sr_pds,y,"('log', 2, None)",log|x2|,pre_lasso,0.348,500,-5.0,,,,
dgp8,Weak NL conf. (dummies),sr_pds,y,"('log', 2, None)",log|x2|,post_lasso,0.348,500,-5.0,-4.991411979738182,0.16030432839967124,0.008588020261817597,0.16053420755616862
dgp8,Weak NL conf. (dummies),sr_pds,y,"('int', 3, 4)",x3*x4,pre_lasso,0.042,500,3.0,,,,
dgp8,Weak NL conf. (dummies),sr_pds,y,"('int', 3, 4)",x3*x4,post_lasso,0.042,500,3.0,2.9404360609276243,0.24754136881935176,-0.05956393907237567,0.25460674012047685
dgp8,Weak NL conf. (dummies),sr_pds,y,"('int', 3, 6)",x3*x6,pre_lasso,0.056,500,2.0,,,,
dgp8,Weak NL conf. (dummies),sr_pds,y,"('int', 3, 6)",x3*x6,post_lasso,0.056,500,2.0,2.066201498419142,0.32747408139404893,0.06620149841914191,0.33409865665371336
dgp8,Weak NL conf. (dummies),sr_pds_cf,y,"('cubic', 0, 1)",x0^2*x1,pre_lasso,1.0,100,5.0,,,,
dgp8,Weak NL conf. (dummies),sr_pds_cf,y,"('cubic', 0, 1)",x0^2*x1,post_lasso,1.0,100,5.0,,,,
dgp8,Weak NL conf. (dummies),sr_pds_cf,y,"('log', 2, None)",log|x2|,pre_lasso,0.83,100,-5.0,,,,
dgp8,Weak NL conf. (dummies),sr_pds_cf,y,"('log', 2, None)",log|x2|,post_lasso,0.83,100,-5.0,,,,
dgp8,Weak NL conf. (dummies),sr_pds_cf,y,"('int', 3, 4)",x3*x4,pre_lasso,0.21,100,3.0,,,,
dgp8,Weak NL conf. (dummies),sr_pds_cf,y,"('int', 3, 4)",x3*x4,post_lasso,0.21,100,3.0,,,,
dgp8,Weak NL conf. (dummies),sr_pds_cf,y,"('int', 3, 6)",x3*x6,pre_lasso,0.28,100,2.0,,,,
dgp8,Weak NL conf. (dummies),sr_pds_cf,y,"('int', 3, 6)",x3*x6,post_lasso,0.28,100,2.0,,,,
dgp8,Weak NL conf. (dummies),sr_pds,d,"('int', 3, 6)",x3*x6,pre_lasso,0.968,500,0.5,,,,
dgp8,Weak NL conf. (dummies),sr_pds,d,"('int', 3, 6)",x3*x6,post_lasso,0.968,500,0.5,1.991045683882554,0.35624234349356687,1.491045683882554,1.5330120151918516
dgp8,Weak NL conf. (dummies),sr_pds_cf,d,"('int', 3, 6)",x3*x6,pre_lasso,1.0,100,0.5,,,,
dgp8,Weak NL conf. (dummies),sr_pds_cf,d,"('int', 3, 6)",x3*x6,post_lasso,1.0,100,0.5,,,,
