seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
68,False,0.9291450653389519,0.31445256419667017,0.3128180395134784,1.5454720911644255,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
69,False,0.4013767350178439,0.3029838552868506,-0.19247162134438334,0.9952250913800711,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4)]",[],"[('cubic', 0, 1), ('int', 3, 4)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
70,False,0.26768211592949004,0.13903851969406145,-0.004833382670870412,0.5401976145298505,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 0, 1), ('int', 0, 24), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 0, 24), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
71,False,0.5088366691640862,0.22062451143530154,0.07641262675089522,0.9412607115772772,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
72,False,1.154790004328576,0.37441786516173675,0.42093098861157185,1.8886490200455799,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
73,False,0.5366783492107023,0.27056993690491654,0.006361272877065893,1.0669954255443388,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
74,False,0.863457349168455,0.17932672975299,0.5119769588525946,1.2149377394843153,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
75,False,0.6648702538229116,0.24899143214381636,0.17684704682103158,1.1528934608247918,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
76,False,0.38100216634664297,0.13412938138153857,0.11810857883882736,0.6438957538544585,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
77,False,0.4010375694606418,0.35870582109916793,-0.3020258398937274,1.104100978815011,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
78,False,0.5342963526452233,0.19090328852074945,0.16012590714455444,0.9084667981458923,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
79,False,0.38066748074645584,0.35226340734335404,-0.3097687976465181,1.07110375913943,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
80,False,0.589888977156056,0.20117872431677286,0.19557867749518126,0.9841992768169308,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
