seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d
1,False,0.35481062483219894,0.24557191902766656,-0.12651033646202753,0.8361315861264254,dgp2,dml_rf,Quadratic,DML-RF,0.5,,,nan,nan,nan,nan,nan,nan
2,False,0.5155250941446754,0.2455818260992002,0.034184714990243004,0.9968654732991078,dgp2,dml_rf,Quadratic,DML-RF,0.5,,,nan,nan,nan,nan,nan,nan
3,False,0.20492213092352576,0.2388948171338319,-0.2633117106587848,0.6731559725058363,dgp2,dml_rf,Quadratic,DML-RF,0.5,,,nan,nan,nan,nan,nan,nan
4,False,0.2889945846745298,0.20182449305574443,-0.10658142171472923,0.6845705910637889,dgp2,dml_rf,Quadratic,DML-RF,0.5,,,nan,nan,nan,nan,nan,nan
5,False,0.24406842929112924,0.22286885995971334,-0.19275453622990887,0.6808913948121673,dgp2,dml_rf,Quadratic,DML-RF,0.5,,,nan,nan,nan,nan,nan,nan
6,False,0.46617475894297056,0.21451924227086028,0.045717044092084436,0.8866324737938567,dgp2,dml_rf,Quadratic,DML-RF,0.5,,,nan,nan,nan,nan,nan,nan
7,False,0.5014617939634172,0.25832973322740965,-0.0048644831623056994,1.00778807108914,dgp2,dml_rf,Quadratic,DML-RF,0.5,,,nan,nan,nan,nan,nan,nan
8,False,0.07803172069166152,0.21797260536229218,-0.34919458581843116,0.5052580272017542,dgp2,dml_rf,Quadratic,DML-RF,0.5,,,nan,nan,nan,nan,nan,nan
9,False,0.42623601309318315,0.303372555279672,-0.168374195254974,1.0208462214413403,dgp2,dml_rf,Quadratic,DML-RF,0.5,,,nan,nan,nan,nan,nan,nan
0,False,0.8355634272524254,0.413307304685644,0.02548111006856324,1.6456457444362875,dgp2,dml_nn,Quadratic,DML-NN,0.5,,,nan,nan,nan,nan,nan,nan
1,False,0.20835423359463148,0.4189244195275967,-0.612737628679458,1.029446095868721,dgp2,dml_nn,Quadratic,DML-NN,0.5,,,nan,nan,nan,nan,nan,nan
2,False,0.4969853465543859,0.3833710597626638,-0.2544219305804351,1.248392623689207,dgp2,dml_nn,Quadratic,DML-NN,0.5,,,nan,nan,nan,nan,nan,nan
3,False,0.587143085857676,0.3905568366247951,-0.1783483139269224,1.3526344856422745,dgp2,dml_nn,Quadratic,DML-NN,0.5,,,nan,nan,nan,nan,nan,nan
4,False,0.7631567870040632,0.3516273986499826,0.07396708565009735,1.452346488358029,dgp2,dml_nn,Quadratic,DML-NN,0.5,,,nan,nan,nan,nan,nan,nan
5,False,0.31568880155299406,0.39604377654911593,-0.4605570004832732,1.0919346035892614,dgp2,dml_nn,Quadratic,DML-NN,0.5,,,nan,nan,nan,nan,nan,nan
6,False,0.3853044140579163,0.34188466660700284,-0.2847895324918092,1.0553983606076418,dgp2,dml_nn,Quadratic,DML-NN,0.5,,,nan,nan,nan,nan,nan,nan
7,False,0.6463578960301806,0.4262802046297844,-0.18915130504419686,1.481867097104558,dgp2,dml_nn,Quadratic,DML-NN,0.5,,,nan,nan,nan,nan,nan,nan
8,False,-0.3984395603486114,0.3464623076809934,-1.0775056834033583,0.2806265627061356,dgp2,dml_nn,Quadratic,DML-NN,0.5,,,nan,nan,nan,nan,nan,nan
9,False,0.39263416029435355,0.40282432338048885,-0.3969015135314046,1.1821698341201117,dgp2,dml_nn,Quadratic,DML-NN,0.5,,,nan,nan,nan,nan,nan,nan
0,False,0.2751173015371681,0.2005947978533369,-0.11804850225537217,0.6682831053297085,dgp2,sr_pds,Quadratic,SR-PDS,0.5,sr_pds,sr_pds,"[('sq', 0, None)]",[],"[('sq', 0, None)]",[],"{('sq', 0, None): 5.012438528870166}",{}
1,False,0.3124651538297979,0.2364155512163496,-0.15090932655424733,0.7758396342138432,dgp2,sr_pds,Quadratic,SR-PDS,0.5,sr_pds,sr_pds,"[('sq', 0, None)]","[('int', 9, 18)]","[('sq', 0, None)]",[],"{('sq', 0, None): 5.080137270232689}",{}
2,False,0.4601133297845234,0.04810267067922682,0.36583209525323884,0.5543945643158079,dgp2,sr_pds,Quadratic,SR-PDS,0.5,sr_pds,sr_pds,"[('sq', 0, None), ('sq', 2, None)]","[('int', 17, 30), ('int', 30, 36), ('int', 30, 39)]","[('sq', 0, None), ('sq', 2, None)]",[],"{('sq', 0, None): 5.010417762714056, ('sq', 2, None): 3.035110224016058}",{}
3,False,0.3421810454918615,0.1661268125463906,0.01657249290093593,0.667789598082787,dgp2,sr_pds,Quadratic,SR-PDS,0.5,sr_pds,sr_pds,"[('sq', 0, None)]","[('int', 7, 43), ('int', 37, 43)]","[('sq', 0, None)]",[],"{('sq', 0, None): 4.836722404602591}",{}
4,False,0.5939344917549527,0.1915578392709228,0.21848112678394405,0.9693878567259614,dgp2,sr_pds,Quadratic,SR-PDS,0.5,sr_pds,sr_pds,"[('sq', 0, None)]",[],"[('sq', 0, None)]",[],"{('sq', 0, None): 5.114873861643341}",{}
